"idattribute","componentid","name","definition","units","value"
"84","97","Non-OceanicWater:RiverMouthMixing","Distribution of freshwater fluxes from rivers into ocean.",,"Addition of surface freshwater at river mouth"
"85","97","Non-OceanicWater:IsolatedSeasMixing","Mixing of isolated sea water with ocean.",,"yes"
"86","97","Bathymetry:BathymetryType","Time evolution of the bathymetry - either fixed to reference date below or evolving at paleo timescales.",,"fixed"
"87","97","Bathymetry:ReferenceDate","Time period for which fixed bathymetry is defined.",,"present-day"
"93","97","HorizontalDiscretization:SchemeMethod","Numerical method used by the horizontal discretization scheme.",,"finite differences"
"94","97","HorizontalDiscretization:PoleSingularityTreatment","Method used to deal with north pole singularities.",,"artificial island"
"95","97","HorizontalDiscretization:Staggering","How the different quantities are located within a grid cell.",,"Arakawa B-grid"
"96","97","TimeSteppingFramework:Tracers","Time stepping scheme for tracers.",,"Leap-frog + Asselin filter"
"97","97","TimeSteppingFramework:BarotropicSolver","Time stepping scheme for barotropic solver.",,"Leap-frog + Asselin filter"
"98","97","TimeSteppingFramework:BaroclinicMomentum","Time stepping scheme for baroclinic momentum.",,"Leap-frog + Asselin filter"
"99","97","TimeSteppingFramework:TimeStep","Time step of the model.","seconds","3600"
"100","98","Momentum:SchemeName","Commonly used name for momentum advection scheme.",,"Second order centred, leapfrog"
"101","98","Momentum:SchemeType","Type of numerical scheme used for advection of momentum.",,"Flux form"
"102","98","LateralTracers:SchemeType","Type of numerical scheme used for lateral advection of tracers.",,"Centred 4th order"
"103","98","LateralTracers:MonotonicFluxLimiter","Use of monotonic flux limiter for numerical stability in the lateral tracers scheme.",,"no"
"104","98","VerticalTracers:SchemeType","Type of numerical scheme used for vertical advection of tracers.",,"Centred 2nd order"
"105","98","VerticalTracers:MonotonicFluxLimiter","Use of monotonic flux limiter for numerical stability in the vertical tracers scheme.",,"no"
"106","103","General Attributes:Convection","Properties of ocean convection scheme.",,"non-penetrative convective adjustment"
"107","103","General Attributes:Tide-inducedMixing","Impact of tides on the ocean vertical mixing.",,"N/A"
"108","106","FreeSurface:Type","Numerical formulation for the ocean free surface.",,"linear implicit"
"109","106","BottomBoundaryLayer:Type","Type of ocean bottom boundary layer.",,"N/A"
"110","106","BottomBoundaryLayer:SillOverflow","Parametrization of sill overflows.",,"N/A"
"112","107","Momentum:BottomFriction","Numerical scheme used to formulate the effect bottom friction on momentum.",,"non-linear"
"113","107","Momentum:LateralFriction","Numerical scheme used to formulate the effect of lateral friction on momentum.",,"no-slip"
"114","107","Momentum:SurfaceFluxCorrection","Is there any correction applied to surface fluxes of momentum?",,"no"
"115","108","General Attributes:GeothermalHeating","Characteristics of the geothermal forcing at ocean bottom.",,"N/A"
"116","108","General Attributes:SurfaceFluxCorrections","Is there any correction applied to surface fluxes of heat and/or salt?",,"N/A"
"117","108","SunlightPenetration:SchemeType","Type of physical scheme used to formulate sunlight penetration into ocean.",,"2 extinction depths"
"118","108","SunlightPenetration:OceanColorDependent","Is sunlight penetration dependant of ocean color? (i.e. Is interaction of incident light with substances particules present in ocean water taken into account?).",,"no"
"119","108","SunlightPenetration:FirstDepth","Fisrt extinction depth of the ocean sunlight penetration scheme.","meters","1"
"120","108","SunlightPenetration:SecondDepth","Second extinction depth of the ocean sunlight penetration scheme.","meters","16.9"
"122","108","SurfaceSalinity:FromAtmosphere","Way to formulate the impact of precipitation/evaporation on sea surface salinity.",,"freshwater flux"
"123","108","SurfaceSalinity:FromSeaIce","Way to formulate the impact of sea-ice formation/melting on sea surface salinity.",,"freshwater flux"
"124","108","SurfaceSalinity:FromRiver","Way to formulate the impact of river discharge on sea surface salinity.",,"freshwater flux"
"125","105","Tracers:SchemeType","Type of scheme used for parametrization of tracers vertical mixing in the ocean interior.",,"other"
"126","105","Tracers:BackgroundType","Type of tracers background mixing coefficient used in the ocean interior.",,"vertical profile"
"129","105","Momentum:SchemeType","Type of scheme used for parametrization of momentum vertical mixing in the ocean interior.",,"other"
"130","105","Momentum:BackgroundType","Type of momentum background mixing coefficient used in the ocean interior.",,"constant value"
"132","105","Momentum:BackgroundCoefficient","Value of the background mixing coefficient for momentum in the ocean interior.","m2/s","0.00002"
"133","104","Tracers:SchemeType","Type of scheme used for parametrization of tracers vertical mixing in the ocean mixed layer. turbulent closure (KPP): Nonlocal K-profile parametrization scheme.",,"other"
"134","104","Tracers:BackgroundCoefficient","Value of the background mixing coefficient for tracers in the mixed layer.","m2/s","0.00001"
"137","104","Momentum:SchemeType","Type of scheme used for parametrization of momentum vertical mixing in the ocean mixed layer.",,"other"
"138","104","Momentum:BackgroundValue","Value of the background vertical mixing coefficient for momentum in the mixed layer.","m2/s","0.00002"
"141","101","General Attributes:MesoscaleClosure","Tracers lateral scheme has a mesoscale closure implemented.",,"yes"
"142","101","Operator:Direction","Type of iso-surface on which lateral diffusion of tracers is formulated.",,"isopycnal"
"143","101","Operator:Order","Order of the diffusion operator used to model the lateral diffusion of tracers.",,"other"
"144","101","Operator:Discretization","Discretization method applied for the lateral diffusion operator of tracers.",,"second order"
"145","101","EddyViscosityCoefficient:CoefficientType","Property of the eddy viscosity coefficient for tracers.",,"constant"
"146","101","EddyViscosityCoefficient:BackgroundValue","Background value of eddy viscosity coefficient for tracers.","m2/s","0"
"147","101","EddyViscosityCoefficient:CoefficientValue","Value of the eddy viscosity coefficient for tracers.","m2/s","500"
"149","101","Eddy-inducedVelocity:SchemeType","Scheme used to parametrise eddy fluxes as eddy-induced velocity (adiabatic). GM scheme: Gent-Mc Williams scheme for ocean eddy parametrization (adiabatic, mesoscale eddies).",,"GM scheme"
"150","101","Eddy-inducedVelocity:FluxType","Formulation used for eddy-induced fluxes (???).",,"skew flux"
"151","101","Eddy-inducedVelocity:AddedDiffusivity","Background added diffusivity for EIV scheme.",,"constant"
"152","101","Eddy-inducedVelocity:CoefficientType","Property of the coefficient for eddy-induced velocity.",,"diagnostic"
"154","100","Operator:Direction","Type of iso-surface on which lateral diffusion of momentum is formulated.",,"geopotential"
"155","100","Operator:Order","Order of the diffusion operator used to model the lateral diffusion of momentum.",,"bi-harmonic (fourth order)"
"156","100","Operator:Discretization","Discretization method applied for the lateral diffusion operator of momentum.",,"second order"
"157","100","EddyViscosityCoefficient:CoefficientType","Property of the eddy viscosity coefficient for momentum.",,"space varying"
"158","100","EddyViscosityCoefficient:MinimalBackgroundValue","Minimal background value of eddy viscosity coefficient for momentum.","m2/s","0"
"160","100","EddyViscosityCoefficient:SpatialVariation","Directions along which the eddy viscosity coefficient for momentum is varying.",,"latitude"
"161","74","General Attributes:CouplingIceSheet-IceShelves","Method by which ice sheets are coupled to ice shelves",,"N/A"
"162","74","General Attributes:LandIceAlbedo","Definition of property name LandIceAlbedo required",,"prescribed"
"165","76","MassBalance:AblationCalculation","Type of scheme used to calculate ablation in the ice sheet mass balance",,"N/A"
"166","76","MassBalance:DowscalingTechnique","How the atmospheric variables are used in the mass balance calculations.",,"N/A"
"167","76","SnowTreatment:Method","How does the treatment of land-ice snow compare with treatment in the land-surface model?",,"N/A"
"168","76","SnowTreatment:NumberOfSnowLayers","How many snow layers are included in modelling land ice sheets?",,"1"
"170","53","Concentrations:PrescribedWithinAtmos","List of species prescribed within atmosphere",,"biogenic aerosol"
"171","56","General Attributes:vegetation model coupling",,,"bare soil fraction for mineral dust emissions"
"172","56","General Attributes:ocean biogeochemical coupling",,,"provides ocean-based DMS emissions, and is fertilised by mineral dust deposition"
"173","64","General Attributes:ChemSchemeScope","Atmospheric domains covered by the atmospheric chemistry model.",,"troposphere"
"174","64","General Attributes:BasicApproximations","Description of th basic approximations made in the Atmospheric Chemistry model.",,"see component description"
"175","64","General Attributes:ListOfPrognosticVariables","Prognostic variables of the Atmospheric Chemistry model.",,"3D mass/mixing ratio for gas"
"176","64","General Attributes:NumberOfTracers","Number of tracers in the Atmospheric Chemistry model.",,"25"
"177","64","General Attributes:FamilyApproach","Atmospheric Chemistry calculations are generalised into families of species.",,"no"
"178","64","General Attributes:CouplingWithChemicalReactivity","Chemistry transport scheme turbulence is coupled with chemical reactivity.",,"no"
"179","64","TimeSteppingFramework:Method","Mathematical method deployed to solve the evolution of a given variable. operator splitting: All the processes are decoupled, the time evolution is calculated sequentially and the tendencies are cumulated; the global evolution depends on the order the cumulation performed. integrated: All the processes having an impact on the time evolution are taken into account and solved simultaneously.",,"other"
"184","65","General Attributes:SchemeType","The type of Atmospheric Chemistry transport scheme.",,"Semi-Lagrangian"
"185","65","General Attributes:MassConservation","Method used to ensure mass conservation. mass adjustment: Adjustment is required to conserve mass. concentrations positivity: Negative concentrations are reset. gradients monotony: Sharp gradients in concentration are smoothed.",,"other"
"186","65","General Attributes:Convection","Transport by convection. convective fluxes connected to tracers: Tracers \"see\" the convection. vertical velocities connected to tracers: Mass flux vertical velocities are connected with tracers.",,"convective fluxes connected to tracers"
"187","65","General Attributes:DryMassConservation",,,"formally conserved"
"188","65","General Attributes:TracerAndMoistureConservation",,,"concentrations positivity and local adjustment, reset conservatively if necessary"
"189","65","Turbulence:Type","Dimension of the turbulence scheme in chemistry transport.",,"3D"
"190","65","Turbulence:CouplingWithChemicalReactivity","Chemistry transport scheme turbulence is coupled with chemical reactivity.",,"no"
"191","66","2D-Emissions:Method","Method used to define chemical species emitted at the surface (several methods allowed because the different species may not use the same method)",,"other, prescribed (climatology)"
"192","66","2D-Emissions:SourceTypes","Sources of chemical species emitted at the surface that are taken into account in the emissions scheme.",,"anthropogenic, bare ground, other, sea surface, vegetation"
"193","66","2D-Emissions:ClimatologyType","Specify the climatology type for chemical emissions prescribed at the surface.",,"monthly"
"194","66","2D-Emissions:ClimEmittedSpecies","List of chemical species emitted at the surface and prescribed via a climatology.",,"CO, Me2CO"
"197","66","2D-Emissions:MethodCharacteristics","Characteristics of the method used for chemical emissions at the surface.",,"Prescribed monthly mean emissions (spatially non-unifoem) linearly interpolated from CMIP5 emissions provided as decadal means."
"198","66","2D-Emissions:EmittedSpecies","List of chemical species emitted at the surface and specified via the method described above.",,"C2H6 ethane, C3H8  propane, CO carbon monoxide, HCHO formaldehyde, MeCHO acetaldehyde, Me2CO acetone,  and NOx nitrogen oxides"
"199","66","3D-Emissions:Method","Method used to define the chemical species emitted in the atmosphere (several methods allowed because the different species may not use the same method).",,"interactive, other"
"200","66","3D-Emissions:SourceTypes","Sources of chemical species emitted in the atmosphere that are taken into account in the emissions scheme.",,"aircraft, lightning"
"204","66","3D-Emissions:InteractivEmittedSpecies","List of chemical species emitted in the atmosphere and specified via an interactive method.",,"NOx (nitrogen oxides)"
"205","66","3D-Emissions:MethodCharacteristics","Characteristics of the method used for chemical emissions in the atmosphere.",,"Prescribed monthly mean emissions (spatially non-uniform) linearly interpolated from CMIP5 emissions provided as decadal means"
"206","66","3D-Emissions:EmittedSpecies","List of chemical species emitted in the atmosphere and specified via the method described above.",,"NOx"
"207","66","Concentrations:PrescribedLowerBoundary","List of species prescribed at the lower boundary.",,"CH4 (methane)"
"208","66","Concentrations:PrescribedUpperBoundary","List of species prescribed at the upper boundary.",,"O3 (ozone)"
"209","69","AtmGasPhaseChemistryAttributes:Species","Species included in the gas phase chemistry scheme.",,"HOx, NOy, Ox, VOCs"
"210","69","Processes:DryDeposition","Dry deposition is prescribed or interactive. Dry deposition describes the dry processes by which gaseous species deposit themselves on solid surfaces thus decreasing their concentration in the air.",,"interactive"
"211","69","Processes:WetDeposition","Wet deposition is included or not. Wet deposition describes the moist processes by which gaseous species deposit themselves on solid surfaces thus decreasing their concentration in the air.",,"yes"
"212","69","Processes:Oxidation","Oxidation is included or not. Oxidation describes the loss of electrons or an increase in oxidation state by a molecule. ",,"yes"
"213","69","Processes:WashOut-RainOut","Downward transport of soluble chemistry species in clouds.",,"N/A"
"214","69","NumOfReactionsAndSpecies:NumberOfBimolecularReactions","The number of bi-molecular reactions in the gas phase chemistry scheme.",,"83"
"215","69","NumOfReactionsAndSpecies:NumberOfTermolecularReactions","The number of ter-molecular reactions in the gas phase chemistry scheme.",,"13"
"216","69","NumOfReactionsAndSpecies:NumberOfAdvectedSpecies","The number of advected species in the gas phase chemistry scheme.",,"25"
"217","69","NumOfReactionsAndSpecies:NumberOfSteadyStateSpecies","The number of steady state species in the gas phase chemistry scheme.",,"9"
"218","71","Species:GasPhase","Gas phase species included in the stratospheric heterogeneous chemistry scheme.",,"N/A"
"219","71","Species:Aerosol","Aerosol species included in the stratospheric heterogeneous chemistry scheme.",,"N/A"
"220","71","Processes:Sedimentation","Sedimentation is included in the stratospheric heterogeneous chemistry scheme or not. Sedimentation is the vertical settling of particles. ",,"no"
"221","71","Processes:Coagulation","Coagulation is included in the stratospheric heterogeneous chemistry scheme or not. Coagulation is a process by which aerosol particles grow. ",,"no"
"222","71","NumOfReactionsAndSpecies:NumberOfReactions","The number of reactions in the stratospheric heterogeneous chemistry scheme.",,"N/A"
"223","71","NumOfReactionsAndSpecies:NumberOfAdvectedSpecies","The number of advected species in the stratospheric heterogeneous chemistry scheme.",,"N/A"
"224","71","NumOfReactionsAndSpecies:NumberOfSteadyStateSpecies","The number of steady state species in the stratospheric heterogeneous chemistry scheme.",,"N/A"
"225","72","Species:GasPhase","List of gas phase species involved in tropospheric heterogeneous chemistry processes.",,"N/A"
"226","72","Species:Aerosol","Aerosol species included in the tropospheric heterogeneous chemistry scheme.",,"N/A"
"227","72","Processes:DryDeposition","Dry deposition is prescribed or interactive. Dry deposition describes the dry processes by which species deposit themselves on solid surfaces thus decreasing their concentration in the air.",,"Interactive"
"228","72","Processes:WetDeposition","Wet deposition is included or not. Wet deposition describes the moist processes by which species deposit themselves on solid surfaces thus decreasing their concentration in the air.",,"yes"
"229","72","Processes:WashOut-RainOut","Downward transport of soluble chemistry species in clouds.",,"N/A"
"230","72","Processes:Coagulation","Coagulation is included in the stratospheric heterogeneous chemistry scheme or not. Coagulation is a process by which aerosol particles grow. ",,"no"
"231","72","NumOfReactionsAndSpecies:NumberOfReactions","The number of reactions in the tropospheric heterogeneous chemistry scheme.",,"N/A"
"232","72","NumOfReactionsAndSpecies:NumberOfAdvectedSpecies","Number of advected species in the tropospheric heterogeneous chemistry scheme.",,"N/A"
"233","72","NumOfReactionsAndSpecies:NumberOfSteadyStateSpecies","Number of steady state species in the tropospheric heterogeneous chemistry scheme.",,"N/A"
"234","73","Photolysis:Method","Photolysis scheme online or offline. offline (clearsky): Look up tables do not take clouds into account. offline (with clouds): Look up tables take clouds into account with respect to effective photolysis rate for photodissociation.",,"offline (with clouds)"
"235","73","Photolysis:ReactionData","Reaction information taken into account by the photolysis scheme.",,"updated reaction absorption cross sections, updated reaction quantum yields"
"237","73","NumOfReactionsAndSpecies:NumberOfReactions","The number of reactions in the photo-chemistry scheme.",,"25"
"238","73","NumOfReactionsAndSpecies:NumberOfSpecies","The number of species in the photo-chemistry scheme.",,"18"
"239","179","PassiveTracers:Method","Time stepping method for passive tracers.",,"use Ocean transport time step"
"241","179","Biology:Method","Time stepping method for ocean biology.",,"use ocean transport time step"
"243","91","General Attributes:BasicApproximations","Description of the basic approximations made in the biogeo chemistry model.",,"Eulerian model, N3 P2 Z1 D1 ecosystem; no diel cycle, constant detrital sinking rate, constant (carbonate) rain ratio"
"244","91","General Attributes:ListOfPrognosticVariables","Prognostic variables of the ocean biogeo chemistry model.",,"Dissolved inorganic nitrogen (nitrate+ammonia); dissolved silicate; dissolved iron; diatoms; other phytoplankton; zooplankton; diatom silicate; detrital nitrogen; detrital carbon; detrital silicate; dissolved inorganic carbon; total alkalinity; dissolved oxygen."
"245","91","BioGeoTracersDamping:ListOfTracers","List of tracers to which a damping is applied.",,"None"
"246","91","BioGeoTracersDamping:LatMin","Southern boundary of the tracers damping zone.","degN","n/a"
"247","91","BioGeoTracersDamping:LatMax","Northern boundary of the tracers damping zone.","degN","n/a"
"248","91","BioGeoTracersDamping:LonMin","Western boundary of the tracers damping zone.","degE","n/a"
"249","91","BioGeoTracersDamping:LonMax","Eastern boundary of the tracers damping zone.","degE","n/a"
"250","91","BioGeoTracersDamping:UpperLevel","Upper level of the tracers damping zone.","meters","n/a"
"251","91","BioGeoTracersDamping:LowerLevel","Lower level of the tracers damping zone.","meters","n/a"
"252","91","Transport:Method","Method for transport for ocean biogeochemistry.",,"online, different from Ocean Tracers"
"253","91","Transport:MethodCharacteristics","Description of the specificities of the ocean biogeochemistry transport method (compared to Ocean tracers one).",,"UTOPIA with flux-limiter"
"254","92","General Attributes:AtmosphericDeposition","How deposition of biogeochemical matter from atmosphere is provided to ocean biogeochemistry model.",,"other"
"255","92","General Attributes:RiverInput","How biogeochemical substances and particules present in rivers are provided to ocean biogeochemistry model.",,"N/A"
"256","92","General Attributes:SedimentInteractions","How the sediments materials are provided to ocean biogeochemistry model.",,"N/A"
"257","93","CO2:Present","Is exchange of carbon dioxide taken into account in the air-sea interaction processes?",,"yes"
"258","93","CO2:SchemeType","Scheme used for formulation of CO2 transfer velocity.",,"Wanninkhof"
"259","93","O2:Present","Is exchange of oxygen taken into account in the air-sea interaction processes?",,"yes"
"260","93","O2:SchemeType","Scheme used for formulation of O2 transfer velocity.",,"Wanninkhof"
"261","93","DMS:Present","Is exchange of dimethyl sulfid taken into account in the air-sea interaction processes?",,"yes"
"262","93","DMS:SchemeType","Scheme used for formulation of DMS transfer velocity.",,"Wanninkhof"
"263","93","N2:Present","Is exchange of nitrogen taken into account in the air-sea interaction processes?",,"no"
"265","93","N2O:Present","Is exchange of nitrogen oxide taken into account in the air-sea interaction processes?",,"no"
"267","93","CO:Present","Is exchange of carbon oxide taken into account in the air-sea interaction processes?",,"no"
"269","94","General Attributes:SulfurCycle","Is sulfur cycle included in ocean biogeochemistry model?",,"no"
"270","94","Nutrients:ListOfSpecies","List of species (gazeous, organic or mineral) that act as as nutriments.",,"Iron (Fe), Nitrogen (N), Silicium (Si)"
"271","94","Nutrients:NitrousSpecies","List of nutriments derived from nitrogen.",,"Amonium (NH4), Nitrates (NO3)"
"272","94","Nutrients:Processes","List of chemical processes involving nitrogen.",,"other"
"273","94","DisolvedOrganicMatter:Lability","Is the lability of dissolved organic matter taken into account in the ocean biogeochemistry model?",,"no"
"274","94","DisolvedOrganicMatter:BacteriaRepresentation","Are bacteria taken into account in the ocean biogeochemistry model?",,"no"
"275","94","Particules:Method","How the particulate carbon are represented in oceanbiogeochemistry model.",,"prognostic"
"276","94","Particules:TypesOfParticules","Type of particulate matter taken into account in the ocean biogeochemistry model. POC: Particulate Organic Carbon. PIC (calcite): Particulate Inorganic Carbon (calcite). PIC (aragonite): Particulate Inorganic Carbon (aragonite). BSi: Biogenic Silica.",,"BSi, PIC (calcite), POC"
"277","94","Particules:SizeSpectrum","Is a particule size spectrum used to represent distribution of particules in the water volume?",,"no"
"278","94","Particules:SinkingSpeed","Method for calculation of particule sinking speed.",,"other"
"279","95","General Attributes:UpperTrophicLevels","Definition of property name UpperTrophicLevels required",,"no"
"280","95","Phytoplancton:Type","Approach used to represent the phytoplancton in the ocean biogeochemistry model.",,"generic"
"282","95","Zooplancton:Type","Approach used to represent the zooplancton in the biogeochemistry model.",,"generic"
"284","96","CarbonChemistry:pH-scale","Definition of property name pH-scale required",,"sea water"
"285","96","CarbonChemistry:CarbonChemConstants","Definition of property name CarbonChemConstants required",,"DOE(1994) (for K1, K2, Kw, and Kb)"
"286","80","General Attributes:BasicApproximations","Decription of the basic approximations made in the LandSurface model.",,"Linearisation of the surface energy balance equations"
"287","80","General Attributes:Genealogy","History of parent models.",,"other"
"288","80","General Attributes:CouplingWithAtmosphere","Specify the treatment of land surface coupling with the Atmosphere model component.",,"implicit"
"289","80","General Attributes:LandCoverTypes","Types of land cover defined in the land surface model.",,"bare soil, ice, urban, vegetated"
"290","80","General Attributes:ListOfPrognosticVariables","Specify which prognostic variables are included in the land surface scheme.",,"canopy heat content, canopy skin temperature, canopy snow content, canopy water content, snow albedo, snow mass, soil heat content, soil ice content, soil moisture, soil temperature, surface skin temperature"
"291","80","General Attributes:Tiling","Is land surface tiling common to all land surface subcomponents?",,"common to all LS subcomponents"
"292","80","General Attributes:TilingMethod","Describe the method of tiling used",,"dynamic"
"293","80","ConservationOfProperties:WaterTreatment","Specify the treatment of water to ocean",,"All water sent to ocean (with a lag)"
"294","80","ConservationOfProperties:LagOfWaterDischarge","Value of the lag duration of the water discharge into ocean.",,"simulated by river flow model"
"296","80","TimeSteppingFramework:Method","Is the time stepping framework used the same as that used in the atmosphere model component?",,"use Atmosphere time step"
"298","81","SoilMap:Texture","Description of the relative clay, sand and silt proportions of the soil",,"Soil properties are derived from fractions of clay, sand and silt defined in the datasets available from the IGBP DIS"
