"idtModelComponent","parentComponentID","modelID","name","description","type","level","contactid"
"63","57","7","Atmospheric Orography and Waves","The gravity wave drag (GWD) scheme is that of Webster et al. (2003) and includes low-level flow blocking. The actual gravity wave drag is that due to air flowing over orography; it is deposited where wave breaking is diagnosed (typically in the lower stratosphere). The remaining drag (about 80% of the total) is attributed to flow around the orography and is deposited uniformly between the surface and the subgridscale orographic height.","AtmosOrographyAndWaves","2","17"
"64","NULL","7","Atmospheric Chemistry","The atmospheric chemistry component of HadGEM2-ES is a configuration of the United Kingdom Chemistry and Aerosols (UKCA) model (O'Connor et al., 2009; 2010; www.ukca.ac.uk) running a relatively thorough description of inorganic odd oxygen (Ox), nitrogen (NOy), hydrogen (HOx), and carbon monoxide (CO) chemistry with near-explicit treatment of methane (CH4), ethane (C2H6), propane (C3H8), and acetone (Me2CO) degradation (including formaldehyde (HCHO), acetaldehyde (MeCHO), peroxy acetyl nitrate (PAN), and peroxy propionyl nitrate (PPAN)). It makes use of 25 tracers and represents 41 species. Large-scale transport, convective transport, and boundary layer mixing are treated. The chemistry scheme accounts for 25 photolytic reactions, 83 bimolecular reactions, and 13 uni- and termolecular reactions. ","AtmosphericChemistry","1","29"
"65","64","7","Atmospheric Chemistry Transport","The tracers in the UKCA atmospheric chemistry in HadGEM2-ES are subject to large-scale advection (Davies et al. 2005), convective transport (Gregory and Rowntree, 1990), and boundary layer mixing (Lock et al. 2000).","AtmChemTransport","2","29"
"66","64","7","Atmospheric Chemistry Emission and Concentration ","The tropospheric chemistry can be run fully interactively, taking account of surface emissions of CH4, CO, NOx, HCHO, C2H6, C3H8, Me2CO, and MeCHO. These are added in the surface layer of the model and then mixed within the boundary layer by mixing (Lock et al., 2000).  In the case of CH4, surface emissions from all anthropogenic and natural sectors can be prescribed. Alternatively, interactive wetland emissions (Gedney et al., 2004) can be used in place of prescribed wetland emissions. Prescribed emissions for all emitted speces are provided on the model's horizontal grid as monthly mean emissions rates. The model then reads in the monthly mean emission rates and calculates an instantaneous emission rate based on a time interpolation of the monthly mean fields. Typically, this time-interpolated rate is recalculated every 5 days. The corresponding tracers are incremented in the surface layer using this time-interpolated emission rate and the dynamical timestep, followed by boundary layer mixing. 

The interactive chemistry in the model also includes aircraft emissions of NOx. These are provided on the 3D model grid as monthly mean emissions rates and time interpolated as for the surface emissions. The model then reads in the monthly mean emission rates and calculates an instantaneous emission rate based on a time interpolation of the monthly mean fields. Typically, this time-interpolated rate is recalculated every 5 days. The NO tracer in the model is then incremented, using this time-interpolated emission rate and the timestep. Interactive lightning emissions of NOx are also considered (Price and Rind, 1994), which have been scaled to give approximately 5 TgN/year at the present day. These are diagnosed every dynamical timestep using convective cloud top and base from the climate model's convection scheme and added to the NO tracer every dynamical timestep.  

The chemistry also has the option of fixing the surface methane concentration based on concentrations provided (either fixed or varying in time). The interactive chemistry does not consider heterogeneous chemistry in the stratosphere. For this reason, stratospheric ozone is prescribed 3-5 km above the tropopause using a time-varying or time-invariant field.  ","AtmChemEmissionAndConc","2","29"
"69","64","7","Atmospheric Gas Phase Chemistry","The species include HOx, NOy, Ox and VOCs, with 25 advected species, 9 steady state species, 83 bimolecular reactions, and 13 termolecular reactions. Interactive dry deposition, wet deposition and oxidation are all included.","AtmGasPhaseChemistry","2","29"
"70","64","7","Atmospheric Heterogeneous Chemistry","The atmospheric chemistry component of HadGEM2-ES does not include either tropospheric or stratospheric heterogeneous reactions.","AtmHeterogeneousChemistry","2","29"
"71","70","7","Stratospheric Heterogeneous Chemistry","Does not include coagulation or sedimentation.","StratosphericHeterChem","3","29"
"72","70","7","Tropospheric Heterogeneous Chemistry","Includes interactive dry deposition and wet deposition; but not coagulation.","TroposphericHeterChem","3","29"
"73","64","7","Atmospheric PhotoChemistry","The atmospheric chemistry component (UKCA) of HadGEM2-ES takes account of 25 photolytic reactions. The corresponding photolysis rates are calculated offline in the Cambridge 2D model (Law and Pyle, 1993) using the Hough (1988) scheme. These are then read in by UKCA on the first time step of the model integration and interpolated in time and space at each model grid box. ","PhotoChemistry","2","29"
"74","NULL","7","Land Ice","The major ice sheets (Greenland and Antarctica) and minor ice caps (Ellesmere, Devon and Baffin islands, Iceland, Svalbard, Novaya and Severnaya Zemlya, and Stikine) are depicted as static ice. They are initialised with a snow depth of 50,000 mm of water equivalent. Further ablation or accumulation has an impact on sea level. Runoff follows the river routing scheme and enters the oceans at predefined river outflow points. Calving at the coastal boundaries is simulated through a fresh water flux to the ocean evenly distributed over the area of observed icebergs in both hemispheres. The value of the freshwater flux is calculated to exactly balance the time mean ice sheet surface mass balance over the pre-industrial control simulation. ","LandIce","1","30"
"75","74","7","Land Ice Glaciers","- not represented in model","LandIceGlaciers","2","30"
"76","74","7","Land Ice Sheet","A single snow layer is included in modelling land ice sheets.","LandIceSheet","2","30"
"77","76","7","Land Ice Sheet Dynamics","- not represented in model","IceSheetDynamics","3","30"
"78","74","7","Land Ice Shelves","- not represented in model","LandIceShelves","2","30"
"79","78","7","Land Ice Shelf Dynamics","- not represented in model","LandIceShelveDynamics","3","30"
"80","NULL","7","Land Surface","The second version of the U.K. Met Office Surface Exchange Scheme (MOSES-II) (Cox et al., 1999; Essery et al., 2003) is used. This allows tiling of land surface heterogeneity using nine different surface types. A separate surface energy balance is calculated for each tile and area-weighted grid box mean fluxes are computed, which are thus much more realistic than when a single surface type is assumed. In addition, vegetation leaf area is allowed to vary seasonally, providing a more realistic representation of seasonal changes in surface fluxes. Tiling of coastal grid points allows separate treatment of land and sea fractions. This in combination with the increased ocean model resolution greatly improves the coastline, particularly in island regions.","LandSurface","1","17"
"81","80","7","Land Surface Soil","The soil has four layers of increasing thickness up to a depth of 3m each with the same soil properties. In addition there is a deeper layer (extending down to 6m below the surface) which has a saturated hydraulic conductivity which decreases exponentially with depth (Gedney et al, 2003). Soil albedo properties are derived from  data as defined in Houldcroft et al. (2008)","LandSurfaceSoil","2","17"
"82","81","7","Land Surface Soil Hydrology","The large-scale hydrology scheme (Gedney et al, 2003 and Clark and Gedney, 2008) is incorporated into the land surface soil hydrology. This allows for the deeper layers to become saturated and a water table to form. Deep run-off is lost through lateral flow below the water table. Excess (supersaturated) soil water (e.g. through snowmelt) is now drained into the soil layer below instead of simply run-off from the top layer. This increases soil moisture in the lower soil layers and so helps to reduce the water stress on vegetation following snowmelt in Northern Hemispheric continents.","LandSurfSoilHydrology","3","17"
"83","80","7","Land Surface Snow","Snow at the land surface is represented with a single layer. This layer is merged with the first soil layer in such a way that if the total depth of snow is less than the thickness of the first soil layer, then the thermal properties become a linear weighting of those from the snow and soil. If the snow depth exceeds the first soil layer thickness, then this layer can increase in thickness and adopts only the snow thermal properties (Essery et al., 2001).","LandSurfaceSnow","2","17"
"84","80","7","Land Surface Vegetation","The land surface scheme represents 5 vegetation functional types (PFTs): broadleaf and needleleaf tree, C3 and C4 grass and shrub, the fractions of which can be specified or simulated by the model (Cox 2001). When simulated, fractional coverage of each PFT evolves due to competition between types based on carbon balance and available land area and is represented by Lotka-Voltera competition equations. As it does not explicitly simulate crop growth, crop areas are treated as natural grass. The impact of land-use is implemented by removing trees and shrubs in regions specified as agriculture. The representation of photosynthesis is that of Collatz et al. (1991) for C3-type photosynthesis and Collatz et al. (1992) for C4-type photosynthesis, as described in Cox et al. (1999). Photosynthesis is also directly sensitive to the leaf nitrogen concentrations (specified) and the leaf temperature. The phenological status alters the leaf area index (LAI) of the canopy and is solely a function of leaf temperature (with pre-specified tolerances to low temperatures) and includes the effects of leaf dropping and budburst in a way corresponding to a chill-day parameterisation. It also includes a representation of the vertical profiles of light and nitrogen through the canopy (Mercardo et al., 2007).","LandSurfaceVegetation","2","17"
"85","80","7","Land Surface Energy Balance","The surface energy balance is derived following the Penman-Montheith approach. This is extended to include thermal inertia for the surface and weakening of the coupling to the underlying soil through radiative processes (Essery et al., 2001). Surface heterogeneity is modelled using the tile approach, with a separate surface energy balance calculation for each tile. The temperature change associated with the outgoing longwave radiation is taken into account in the surface energy balance, but the net change to the radiative balance is not applied throughout the atmosphere. Instead it is assumed that the small changes to the longwave radiation pass through the atmosphere and are added to the top of atmosphere balance through an additional diagnostic. The surface is implicitly coupled to the atmosphere using the method of Best et al. (2004).","LandSurfaceEnergyBalance","2","17"
"86","80","7","Land Surface Albedo","A bulk albedo is used for each of the surface types within the tile scheme. Non vegetation surfaces have a fixed specified snow free albedo. For vegetation the albedo is a combination of the bare soil albedo and the vegetation albedo, using Bear's law to determine the fraction of bare soil. The overall albedo then depends upon the amount of snow, varying between the snow free albedo and a specified deep snow albedo according to the depth of snow (Essery et al., 2001).","LandSurfaceAlbedo","2","17"
"87","80","7","Land Surface Carbon Cycle","The land surface scheme simulates the storage of carbon in the terrestrial biosphere and its exchange with the atmosphere. Vegetation takes up carbon through photosynthesis and releases it through autotrophic respiration. The net balance (NPP) is allocated to root, wood and leaf carbon. Turnover of vegetation carbon falls as litter to the soil, which is represented by the 4-pool soil carbon model RothC (Coleman and Jenkinson, 1999). Decomposition of soil organic material depends on a Q10 function of temperature (q10=2) and a function of soil moisture (Cox, 2001).","LandSurfaceCarbonCycle","2","17"
"88","87","7","Land Surface Vegetation Carbon Cycle","There are three carbon pools - leaf, wood and root - these are diagnosed from the canopy height and leaf area index (LAI) of the vegetation.","VegetationCarbonCycle","3","17"
"89","80","7","Land Surface River Routing","Realistic river flow is important for the freshwater contribution to the thermohaline circulation. The Total Runoff Integrating Pathways (TRIP) dynamic river routing scheme (Oki and Sud, 1998) advects runoff along prescribed channels using an embedded 1 x 1 degree river transport submodel. All rivers flow with an effective velocity of 0.4 m/s and a meander ratio of 1.4. River outflow to the ocean is included. Ancillary files specify 'inland basins' in which the river flows into an inland delta and the moisture enters the soil column. The model also allows for inland basins to be defined separately and spreads water proportionately over the river outflow points.","RiverRouting","2","17"
"90","80","7","Land Surface Lakes","Lakes are represented as a fixed, specified fraction of each gridbox. They provide a source of water to evaporate to the atmosphere but do not prognostically simulate water depth, storage or areal extent. Evaporated water from lakes is removed from soil moisture in unstressed regions. The model calculates the accumulated lake evaporation globally over a whole day and then applies an equal correction to all the 4 soil moisture levels for each grid box where the soil moisture is greater than the wilting point.","LandSurfaceLakes","2","17"
"91","NULL","7","Ocean Biogeo Chemistry","There is a simple prognostic ecosystem model (the Diat-HadOCC model), with three nutrients (combined nitrate and ammonium, dissolved silicate and dissolved iron), two phytoplankton (diatoms and other phytoplankton), one zooplankton and three detrital compartments (detrital nitrogen, detrital carbon and detrital silicate). There are also two prognostic tracers that are only used in a diagnostic capacity (i.e. their concentrations are affected by, but do not affect, the other compartments): these are dissolved ammonium and dissolved oxygen. Nitrogen is used as the model currency. The diatoms have a variable silicate:nitrate ratio, so diatom silicate is another compartment. All three of the detrital compartments sink with a constant velocity, and are remineralised at a rate that is depth-dependent.  The zooplankton and both phytoplankton compartments have fixed elemental carbon:nitrogen ratios which allow the flows of carbon through the ecosystem to be linked to the corresponding nitrogen flows. As well as the ecosystem compartments listed above dissolved inorganic carbon (DIC) and total alkalinity (TAlk) are included as prognostic tracers. Those two compartments, along with the model temperature and salinity, are used to calculate the ocean surface pCO2, the air-sea flux of CO2 and the ocean pH. The air-sea fluxes of CO2 and DMS are each calculated every ocean time-step and their daily means are passed through the coupler to the atmosphere each day.","OceanBiogeoChemistry","1","32"
"92","91","7","Ocean Bio Boundary Forcing","There are no exchanges of biogeochemical variables with the land (including rivers), with sea-ice or with the sea-floor sediments (which are not included in the model). Only the air-sea interface has any forcing for the ocean biogeochemistry directly. Dust from the atmospheric model is deposited on the ocean and absorbed in the top layer; its soluble iron content is added to the dissolved iron in the water and is available for biological uptake and can be transported like any other ocean tracer. In the atmospheric model the rate of dust deposition is calculated in six size classes and by four deposition processes, but on being passed to the ocean all these combinations are summed to get the total deposition. DMS is passed from the ocean to the atmosphere, but the atmospheric concentration is assumed to be zero in the calculation so there is no air-to-sea flux. In the case of CO2 the flux is calculated in both directions, with the atmospheric pCO2 required for the calculation being prescribed as specified in the CMIP5 protocols. For both DMS and CO2 the piston velocity uses the 10m wind-speed, passed from the atmosphere. In the case of dissolved oxygen, which is a prognostic tracer but whose concentration does not affect any other biogeochemical process, the surface ocean layer is assumed to be 3% over-saturated, the saturation being determined according to Equation 8 on p1310 of Garcia and Gordon (1992), modified by removing the incorrect term on the first line as indicated in the o2sato.f function in the OCMIP-2 Biotic HOWTO document (www.ipsl.jussieu.fr/OCMIP/). The flux is determined by the change in the top-layer ocean concentration required to achieve that oversaturation, and is applied to the ocean concentration but not the atmosphere, and no forcing from the atmosphere is required. More details of the gas exchange formulations is given in the Ocean Bio Gas Exchange component. Note that all information passed from the atmosphere is passed through the coupler, which is called every 24 hours.","OceanBioBoundaryForcing","2","32"
"93","91","7","Ocean Bio Gas Exchange","The gases exchanged between the ocean and atmosphere are DMS (only ocean to air) and CO2 (both directions). Oxygen is not passed between ocean and atmosphere although it exists as a tracer in both models and the ocean tracer has a surface boundary condition as described in the preceding section Ocean Bio Boundary Forcing. For both DMS and CO2 the air-sea flux is calculated each (ocean) time-step in the ocean model and applied to the appropriate ocean tracers; the daily mean flux is passed through the coupler (once a day) to the atmospheric model. In the case of DMS there is no attempt to model the sulphur cycle in the ocean, a simple parameterisation being used to calculate the surface ocean concentration of DMS and thence the flux out of the ocean. The parameterisation used is that of  Simo and Dachs (2002), which sets the DMS concentration as a function of chlorophyll divided by the mixed layer depth while that ratio is greater than 0.02 mg-Chla/m2, and as a function of the log of the mixed layer depth otherwise. However, here in the latter case if the mixed layer is more than 182.536 m the scheme of Aranami and Tsunogai (2004), which make the DMS concentration inversely proportional to the mixed layer depth, is used to avoid negative concentrations. In all cases the chlorophyll is calculated from the non-diatom phytoplankton concentration only, and the mixed layer depth is calculated according to the 0.5C temperature criterion. The Schmidt number for DMS is calculated according to Saltzman et al. (1993). In the case of CO2 the atmospheric pCO2 (time-varying and prescribed according to CMIP5 protocols) is converted from partial pressure (in ppmv) to Moles-C/kg-seawater using the solubility parameterisation of Weiss (1974). The concentration of carbonic acid ([H2CO3], taken to include dissolved CO2 gas) is calculated from the model DIC and TAlk concentrations and the model temperature and salinity. The definition of TAlk used is [HCO3(-)] + 2[CO3(2-)] + [B(OH)4(-)] + [OH(-)] [H(+)], and so the calculation of [H(+)] and then [H2CO3] requires the constants K1, K2, Kb and Kw. The formulae for all these constants can be found in DOE (1994), with the K1 and K2 constants coming originally from Roy et al. (1993) and the boric acid dissociation constant Kb from Dickson (1990) The total boron concentration is linked to salinity as in Peng et al. (1987). [H(+)] is found using the iterative secant method of similar triangles following Bacastow (1981). The Schmidt number for CO2 is calculated following Table A1 in Wanninkhof (1992), which itself uses experimental results from Jahne et al. (1987). The wind-speed dependence of the piston velocity follows Wanninkhof (1992) and uses the 0.31 coefficient value.","OceanBioGasExchange","2","32"
"94","91","7","Ocean Bio Tracers","The fourteen ocean biogeochemical tracers are: dissolved inorganic carbon (DIC); total alkalinity (TAlk); dissolved oxygen; and the eleven ocean ecosystem tracers, as described in the Ocean Bio Tracers Ecosystem component including dissolved inorganic nitrogen (DIN), dissolved silicate, total dissolved iron, diatom nitrogen, diatom silicate, other non-diatom phytoplankton nitrogen, zooplankton nitrogen, detrital nitrogen, detrital carbon, detrital silicate and dissolved ammonium. Dissolved inorganic carbon (DIC): equal to [H2CO3] + [HCO3(-)] + [CO3(2-)],here [H2CO3] is taken to include both carbonic acid and dissolved CO2 gas. It is taken up, in a fixed ratio to nitrogen, by diatoms and other non-diatom phytoplankton during growth (but does not limit their rates of growth). It is recycled through the natural mortalities of diatoms, other non-diatom phytoplankton and zooplankton, zooplankton respiration and messy feeding and by remineralisation of detrital carbon. It has an exchange with the atmosphere, as defined in the Ocean Bio Gas Exchange component Units are mMoles-C/m3; Total alkalinity (TAlk): defined as [HCO3(-)] + 2[CO3(2-)] + [B(OH)4(-)] + [OH(-)]  [H(+)]. Biological processes affect TAlk in two ways: when one unit of DIN is taken up (or released) one unit of TAlk is released (taken up), following Goldman and Brewer (1980), and when one unit of calcium carbonate is formed (or dissolved) two units of TAlk are taken up (released). Units are mEquivalents/m3; Dissolved oxygen: when one unit of DIC is taken up (or released) by biology (except for calcium carbonate formation or dissolution), one unit of dissolved oxygen is released (taken up). The surface ocean boundary condition for dissolved oxygen is described in Ocean Bio Boundary Forcing component. Units are nMoles-O2/m3.","OceanBioTracers","2","32"
